   id,      z_2d,      z_1d,     zs_1d,        dx,         b,         n
  135,   266.554,   264.554,   263.554,    10.000,    10.000,   0.05000
  136,   268.464,   266.464,   265.464,    14.142,    10.000,   0.05000
  137,   270.942,   268.942,   267.942,    14.142,    10.000,   0.05000
  138,   273.411,   271.411,   270.411,    14.142,    10.000,   0.05000
  139,   280.310,   278.310,   277.310,    10.000,    10.000,   0.05000
  140,   279.142,   277.142,   276.142,    10.000,    10.000,   0.05000
  141,   277.489,   275.489,   274.489,    10.000,    10.000,   0.05000
  142,   275.785,   273.785,   272.785,    14.142,    10.000,   0.05000
  143,   283.489,   281.489,   280.489,    10.000,    10.000,   0.05000
  144,   282.607,   280.607,   279.607,    10.000,    10.000,   0.05000
  145,   281.719,   279.719,   278.719,    10.000,    10.000,   0.05000
  146,   281.074,   279.074,   278.074,    14.142,    10.000,   0.05000
  147,   284.089,   282.089,   281.089,    14.142,    10.000,   0.05000
  148,   285.407,   283.407,   282.407,    14.142,    10.000,   0.05000
  149,   286.509,   284.509,   283.509,    10.000,    10.000,   0.05000
  150,   287.120,   285.120,   284.120,    10.000,    10.000,   0.05000
  151,   288.144,   286.144,   285.144,    14.142,    10.000,   0.05000
  152,   288.467,   286.467,   285.467,    10.000,    10.000,   0.05000
  153,   288.827,   286.827,   285.827,    10.000,    10.000,   0.05000
  154,   290.014,   288.014,   287.014,    14.142,    10.000,   0.05000
  155,   292.372,   290.372,   289.372,    14.142,    10.000,   0.05000
  156,   293.986,   291.986,   290.986,    14.142,    10.000,   0.05000
  157,   296.736,   294.736,   293.736,    14.142,    10.000,   0.05000
  158,   299.558,   297.558,   296.558,    14.142,    10.000,   0.05000
  159,   302.382,   300.382,   299.382,    14.142,    10.000,   0.05000
  160,   304.768,   302.768,   301.768,    14.142,    10.000,   0.05000
  161,   307.758,   305.758,   304.758,    14.142,    10.000,   0.05000
  162,   310.204,   308.204,   307.204,    14.142,    10.000,   0.05000
  163,   312.908,   310.908,   309.908,    14.142,    10.000,   0.05000
  164,   315.324,   313.324,   312.324,    14.142,    10.000,   0.05000
  165,   317.354,   315.354,   314.354,    14.142,    10.000,   0.05000
  166,   319.162,   317.162,   316.162,    14.142,    10.000,   0.05000
  167,   321.902,   319.902,   318.902,    14.142,    10.000,   0.05000
  168,   324.615,   322.615,   321.615,    14.142,    10.000,   0.05000
  169,   336.282,   334.282,   333.282,    10.000,    10.000,   0.05000
  170,   334.944,   332.944,   331.944,    10.000,    10.000,   0.05000
  171,   331.886,   329.886,   328.886,    10.000,    10.000,   0.05000
  172,   329.094,   327.094,   326.094,    10.000,    10.000,   0.05000
  173,   327.127,   325.127,   324.127,    14.142,    10.000,   0.05000
  174,   338.531,   336.531,   335.531,    10.000,    10.000,   0.05000
  175,   337.044,   335.044,   334.044,    14.142,    10.000,   0.05000
  176,   394.692,   392.692,   391.692,    10.000,    10.000,   0.05000
  177,   390.111,   388.111,   387.111,    10.000,    10.000,   0.05000
  178,   385.075,   383.075,   382.075,    10.000,    10.000,   0.05000
  179,   381.143,   379.143,   378.143,    10.000,    10.000,   0.05000
  180,   379.456,   377.456,   376.456,    10.000,    10.000,   0.05000
  181,   378.357,   376.357,   375.357,    10.000,    10.000,   0.05000
  182,   376.682,   374.682,   373.682,    10.000,    10.000,   0.05000
  183,   374.262,   372.262,   371.262,    10.000,    10.000,   0.05000
  184,   370.989,   368.989,   367.989,    10.000,    10.000,   0.05000
  185,   367.546,   365.546,   364.546,    10.000,    10.000,   0.05000
  186,   364.225,   362.225,   361.225,    10.000,    10.000,   0.05000
  187,   361.218,   359.218,   358.218,    14.142,    10.000,   0.05000
  188,   346.536,   344.536,   343.536,    10.000,    10.000,   0.05000
  189,   344.499,   342.499,   341.499,    10.000,    10.000,   0.05000
  190,   342.149,   340.149,   339.149,    10.000,    10.000,   0.05000
  191,   340.003,   338.003,   337.003,    14.142,    10.000,   0.05000
  192,   403.073,   401.073,   400.073,    10.000,    10.000,   0.05000
  193,   400.085,   398.085,   397.085,    10.000,    10.000,   0.05000
