   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   70  1221.93800     0.00908     0.00012     0.00003     0.00000     0.00000  1000.00000     0.00000  1221.93800    -0.31426     2.00000     0.00009     0.73428     0.70522           0   0.14462E+003   0.00000E+000   0.00000E+000
   71  1437.71200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1437.71200    -0.72350     1.24288     0.00013     1.27760     0.08230           0   0.00000E+000   0.00000E+000   0.00000E+000
   72  1106.64600     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1106.64600    -0.54830     1.96186     0.00016     0.00000     0.00000           0   0.51136E+003   0.00000E+000   0.00000E+000
   73  1090.19700     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1090.19700    -0.30133     1.94480     0.00009     0.69125     0.72973           0   0.50727E+003   0.00000E+000   0.00000E+000
   74  1081.15700     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1081.15700    -0.24933     1.61949     0.00006     0.51384     0.83680           0   0.50319E+003   0.00000E+000   0.00000E+000
   75  1073.67700     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1073.67700    -0.32383     1.75962     0.00009     0.69681     0.68379           0   0.49911E+003   0.00000E+000   0.00000E+000
   76  1063.96200     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1063.96200    -0.12977     1.78537     0.00004     0.28371     1.00000           0   0.49502E+003   0.00000E+000   0.00000E+000
   77  1060.06900     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1060.06900    -0.29739     1.54215     0.00007     0.59629     0.74216           0   0.48925E+003   0.00000E+000   0.00000E+000
   78  1026.73200     0.01011     0.00029     0.00006     0.00000     0.00000  1000.00000     0.00000  1026.73200    -0.00002     2.00000     0.00000    -0.00000     1.00000           0   0.69375E+003   0.00000E+000   0.00000E+000
   79  1016.48300     0.00908     0.00047     0.00006     0.00000     0.00000  1000.00000     0.00000  1016.48300    -0.33127     1.51355     0.00007     0.65699     0.66931           0   0.68388E+003   0.00000E+000   0.00000E+000
