   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   63  1032.83000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1032.83000    -0.63228     1.83594     0.00018     1.36173     0.21477           0   0.00000E+000   0.00000E+000   0.00000E+000
   64  1077.47100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1077.47100    -0.42493     1.99955     0.00013     0.98367     0.51178           0   0.00000E+000   0.00000E+000   0.00000E+000
   65  1094.95000     0.00001     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1094.95000    -0.54623     2.00000     0.00017     1.25287     0.32823           1   0.00000E+000   0.00000E+000   0.00000E+000
   66  1095.78400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1095.78400    -0.59890     1.98122     0.00018     1.35863     0.25731           0   0.00000E+000   0.00000E+000   0.00000E+000
   67  1157.95300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1157.95300    -0.51381     1.21110     0.00009     0.91311     0.37437           0   0.00000E+000   0.00000E+000   0.00000E+000
   68  1214.70600     0.00005     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1214.70600    -0.47753     2.00000     0.00015     1.10139     0.42844           1   0.00000E+000   0.00000E+000   0.00000E+000
   69  1214.37600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1214.37600    -0.52453     1.99548     0.00016     1.20341     0.35889           1   0.00000E+000   0.00000E+000   0.00000E+000
   70  1221.93800     0.00001     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1221.93800    -0.31427     2.00000     0.00009     0.73261     0.70909           0   0.00000E+000   0.00000E+000   0.00000E+000
   71  1437.71200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1437.71200    -0.72350     1.24290     0.00013     1.27761     0.10704           0   0.00000E+000   0.00000E+000   0.00000E+000
   72  1106.64600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1106.64600    -0.54830     1.96168     0.00016     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
