         836
x,y,i,j
      11160.000,      -9015.000,  178,  135
      11160.000,      -9005.000,  178,  136
      11150.000,      -8995.000,  177,  137
      11140.000,      -8985.000,  176,  138
      11140.000,      -8975.000,  176,  139
      11130.000,      -8965.000,  175,  140
      11130.000,      -8955.000,  175,  141
      11120.000,      -8945.000,  174,  142
      11110.000,      -8935.000,  173,  143
      11110.000,      -8925.000,  173,  144
      11100.000,      -8915.000,  172,  145
      11100.000,      -8905.000,  172,  146
      11090.000,      -8895.000,  171,  147
      11080.000,      -8885.000,  170,  148
      11080.000,      -8875.000,  170,  149
      11070.000,      -8865.000,  169,  150
      11070.000,      -8855.000,  169,  151
      11060.000,      -8845.000,  168,  152
      11050.000,      -8835.000,  167,  153
      11050.000,      -8825.000,  167,  154
      11040.000,      -8815.000,  166,  155
      11040.000,      -8805.000,  166,  156
      11030.000,      -8795.000,  165,  157
      11030.000,      -8785.000,  165,  158
      11020.000,      -8775.000,  164,  159
      11010.000,      -8765.000,  163,  160
      11010.000,      -8755.000,  163,  161
      11000.000,      -8745.000,  162,  162
      11000.000,      -8735.000,  162,  163
      10990.000,      -8725.000,  161,  164
      10980.000,      -8715.000,  160,  165
      10980.000,      -8705.000,  160,  166
      10970.000,      -8695.000,  159,  167
      10970.000,      -8685.000,  159,  168
      10960.000,      -8675.000,  158,  169
      10950.000,      -8665.000,  157,  170
      10950.000,      -8655.000,  157,  171
      10940.000,      -8645.000,  156,  172
      10940.000,      -8635.000,  156,  173
      10930.000,      -8625.000,  155,  174
      10920.000,      -8615.000,  154,  175
      10920.000,      -8605.000,  154,  176
      10910.000,      -8595.000,  153,  177
      10910.000,      -8585.000,  153,  178
      10900.000,      -8575.000,  152,  179
      10900.000,      -8565.000,  152,  180
      10890.000,      -8555.000,  151,  181
      10880.000,      -8545.000,  150,  182
      10880.000,      -8535.000,  150,  183
      10870.000,      -8525.000,  149,  184
      10870.000,      -8515.000,  149,  185
      10860.000,      -8505.000,  148,  186
      10850.000,      -8495.000,  147,  187
      10850.000,      -8485.000,  147,  188
      10840.000,      -8475.000,  146,  189
      10840.000,      -8465.000,  146,  190
      10830.000,      -8455.000,  145,  191
      10820.000,      -8445.000,  144,  192
      10820.000,      -8435.000,  144,  193
      10810.000,      -8425.000,  143,  194
      10810.000,      -8415.000,  143,  195
      10800.000,      -8405.000,  142,  196
