         836
x,y,i,j
      13060.000,      -6635.000,  368,  373
      13060.000,      -6625.000,  368,  374
      13060.000,      -6615.000,  368,  375
      13070.000,      -6605.000,  369,  376
      13070.000,      -6595.000,  369,  377
      13070.000,      -6585.000,  369,  378
      13070.000,      -6575.000,  369,  379
      13070.000,      -6565.000,  369,  380
      13070.000,      -6555.000,  369,  381
      13080.000,      -6545.000,  370,  382
      13080.000,      -6535.000,  370,  383
      13080.000,      -6525.000,  370,  384
      13080.000,      -6515.000,  370,  385
      13080.000,      -6505.000,  370,  386
      13090.000,      -6495.000,  371,  387
      13090.000,      -6485.000,  371,  388
      13090.000,      -6475.000,  371,  389
      13090.000,      -6465.000,  371,  390
      13090.000,      -6455.000,  371,  391
      13100.000,      -6445.000,  372,  392
      13100.000,      -6435.000,  372,  393
      13100.000,      -6425.000,  372,  394
      13100.000,      -6415.000,  372,  395
      13100.000,      -6405.000,  372,  396
      13110.000,      -6395.000,  373,  397
      13110.000,      -6385.000,  373,  398
      13110.000,      -6375.000,  373,  399
      13110.000,      -6365.000,  373,  400
      13110.000,      -6355.000,  373,  401
      13110.000,      -6345.000,  373,  402
      13120.000,      -6335.000,  374,  403
      13120.000,      -6325.000,  374,  404
      13120.000,      -6315.000,  374,  405
      13120.000,      -6305.000,  374,  406
      13120.000,      -6295.000,  374,  407
      13130.000,      -6285.000,  375,  408
      13130.000,      -6275.000,  375,  409
      13130.000,      -6265.000,  375,  410
      13130.000,      -6255.000,  375,  411
      13130.000,      -6245.000,  375,  412
      13140.000,      -6235.000,  376,  413
      13140.000,      -6225.000,  376,  414
      13140.000,      -6215.000,  376,  415
      13140.000,      -6205.000,  376,  416
      13140.000,      -6195.000,  376,  417
      13150.000,      -6185.000,  377,  418
      13150.000,      -6175.000,  377,  419
      13150.000,      -6165.000,  377,  420
      13150.000,      -6155.000,  377,  421
      13150.000,      -6145.000,  377,  422
      13150.000,      -6135.000,  377,  423
      13160.000,      -6125.000,  378,  424
      13160.000,      -6115.000,  378,  425
      13160.000,      -6105.000,  378,  426
      13160.000,      -6095.000,  378,  427
      13160.000,      -6085.000,  378,  428
      13170.000,      -6075.000,  379,  429
      13170.000,      -6065.000,  379,  430
      13170.000,      -6055.000,  379,  431
      13170.000,      -6045.000,  379,  432
      13180.000,      -6035.000,  380,  433
      13180.000,      -6025.000,  380,  434
      13180.000,      -6015.000,  380,  435
      13180.000,      -6005.000,  380,  436
      13190.000,      -5995.000,  381,  437
      13190.000,      -5985.000,  381,  438
      13190.000,      -5975.000,  381,  439
      13190.000,      -5965.000,  381,  440
      13200.000,      -5955.000,  382,  441
      13200.000,      -5945.000,  382,  442
      13200.000,      -5935.000,  382,  443
      13210.000,      -5925.000,  383,  444
      13210.000,      -5915.000,  383,  445
      13210.000,      -5905.000,  383,  446
      13210.000,      -5895.000,  383,  447
      13220.000,      -5885.000,  384,  448
      13220.000,      -5875.000,  384,  449
      13220.000,      -5865.000,  384,  450
