    3,# of div
x,y,i2d,j2d,i1d,itr,dist
      12395.000,      -9805.000,  301,   56,      1587,    2,     0.000
      12385.000,      -9815.000,  300,   55,      1587,    3,     0.000
      12675.000,      -9795.000,  329,   57,      1588,    1,     0.000
      12665.000,      -9805.000,  328,   56,      1588,    2,     0.000
      12655.000,      -9815.000,  327,   55,      1588,    3,     0.000
      12705.000,      -9795.000,  332,   57,      1589,    1,     0.000
      12695.000,      -9795.000,  331,   57,      1589,    2,     0.000
      12685.000,      -9795.000,  330,   57,      1589,    3,     0.000
      12735.000,      -9795.000,  335,   57,      1590,    1,     0.000
      12725.000,      -9795.000,  334,   57,      1590,    2,     0.000
      12715.000,      -9795.000,  333,   57,      1590,    3,     0.000
      12015.000,      -9765.000,  263,   60,      1597,    1,     0.000
      12005.000,      -9755.000,  262,   61,      1597,    2,     0.000
      11995.000,      -9745.000,  261,   62,      1597,    3,     0.000
      12135.000,      -9765.000,  275,   60,      1598,    1,     0.000
      12135.000,      -9755.000,  275,   61,      1598,    2,     0.000
      12135.000,      -9745.000,  275,   62,      1598,    3,     0.000
      12435.000,      -9765.000,  305,   60,      1599,    1,     0.000
      12425.000,      -9775.000,  304,   59,      1599,    2,     0.000
      12415.000,      -9785.000,  303,   58,      1599,    3,     0.000
      12465.000,      -9765.000,  308,   60,      1600,    1,     0.000
      12455.000,      -9765.000,  307,   60,      1600,    2,     0.000
      12445.000,      -9765.000,  306,   60,      1600,    3,     0.000
      12495.000,      -9765.000,  311,   60,      1601,    1,     0.000
      12485.000,      -9765.000,  310,   60,      1601,    2,     0.000
      12475.000,      -9765.000,  309,   60,      1601,    3,     0.000
      12765.000,      -9765.000,  338,   60,      1602,    1,     0.000
      12755.000,      -9775.000,  337,   59,      1602,    2,     0.000
      12745.000,      -9785.000,  336,   58,      1602,    3,     0.000
      11985.000,      -9735.000,  260,   63,      1607,    1,     0.000
      11985.000,      -9725.000,  260,   64,      1607,    2,     0.000
      11985.000,      -9715.000,  260,   65,      1607,    3,     0.000
      12135.000,      -9735.000,  275,   63,      1608,    1,     0.000
      12135.000,      -9725.000,  275,   64,      1608,    2,     0.000
      12135.000,      -9715.000,  275,   65,      1608,    3,     0.000
      12525.000,      -9735.000,  314,   63,      1609,    1,     0.000
      12515.000,      -9745.000,  313,   62,      1609,    2,     0.000
      12505.000,      -9755.000,  312,   61,      1609,    3,     0.000
      12555.000,      -9735.000,  317,   63,      1610,    1,     0.000
      12545.000,      -9735.000,  316,   63,      1610,    2,     0.000
      12535.000,      -9735.000,  315,   63,      1610,    3,     0.000
      12585.000,      -9735.000,  320,   63,      1611,    1,     0.000
      12575.000,      -9735.000,  319,   63,      1611,    2,     0.000
      12565.000,      -9735.000,  318,   63,      1611,    3,     0.000
      12615.000,      -9735.000,  323,   63,      1612,    1,     0.000
      12605.000,      -9735.000,  322,   63,      1612,    2,     0.000
      12595.000,      -9735.000,  321,   63,      1612,    3,     0.000
      12645.000,      -9735.000,  326,   63,      1613,    1,     0.000
      12635.000,      -9735.000,  325,   63,      1613,    2,     0.000
      12625.000,      -9735.000,  324,   63,      1613,    3,     0.000
      12765.000,      -9735.000,  338,   63,      1614,    1,     0.000
      12765.000,      -9745.000,  338,   62,      1614,    2,     0.000
      12765.000,      -9755.000,  338,   61,      1614,    3,     0.000
      11985.000,      -9705.000,  260,   66,      1621,    1,     0.000
      11975.000,      -9695.000,  259,   67,      1621,    2,     0.000
      11965.000,      -9685.000,  258,   68,      1621,    3,     0.000
      12135.000,      -9705.000,  275,   66,      1622,    1,     0.000
      12135.000,      -9695.000,  275,   67,      1622,    2,     0.000
      12135.000,      -9685.000,  275,   68,      1622,    3,     0.000
      11895.000,      -9675.000,  251,   69,      1628,    1,     0.000
      11905.000,      -9665.000,  252,   70,      1628,    2,     0.000
      11915.000,      -9655.000,  253,   71,      1628,    3,     0.000
      11955.000,      -9675.000,  257,   69,      1629,    1,     0.000
      11955.000,      -9665.000,  257,   70,      1629,    2,     0.000
      11955.000,      -9655.000,  257,   71,      1629,    3,     0.000
      12135.000,      -9675.000,  275,   69,      1630,    1,     0.000
      12135.000,      -9665.000,  275,   70,      1630,    2,     0.000
      12135.000,      -9655.000,  275,   71,      1630,    3,     0.000
      12285.000,      -9675.000,  290,   69,      1631,    1,     0.000
      12275.000,      -9665.000,  289,   70,      1631,    2,     0.000
      12265.000,      -9655.000,  288,   71,      1631,    3,     0.000
      12315.000,      -9675.000,  293,   69,      1632,    1,     0.000
      12305.000,      -9675.000,  292,   69,      1632,    2,     0.000
      12295.000,      -9675.000,  291,   69,      1632,    3,     0.000
      12345.000,      -9675.000,  296,   69,      1633,    1,     0.000
      12335.000,      -9675.000,  295,   69,      1633,    2,     0.000
      12325.000,      -9675.000,  294,   69,      1633,    3,     0.000
      12465.000,      -9675.000,  308,   69,      1634,    1,     0.000
      12455.000,      -9665.000,  307,   70,      1634,    2,     0.000
      12445.000,      -9655.000,  306,   71,      1634,    3,     0.000
      11925.000,      -9645.000,  254,   72,      1641,    1,     0.000
      11925.000,      -9635.000,  254,   73,      1641,    2,     0.000
      11925.000,      -9625.000,  254,   74,      1641,    3,     0.000
      11955.000,      -9645.000,  257,   72,      1642,    1,     0.000
      11945.000,      -9635.000,  256,   73,      1642,    2,     0.000
      11935.000,      -9625.000,  255,   74,      1642,    3,     0.000
      12135.000,      -9645.000,  275,   72,      1643,    1,     0.000
      12125.000,      -9635.000,  274,   73,      1643,    2,     0.000
      12115.000,      -9625.000,  273,   74,      1643,    3,     0.000
      12255.000,      -9645.000,  287,   72,      1644,    1,     0.000
      12245.000,      -9635.000,  286,   73,      1644,    2,     0.000
      12235.000,      -9625.000,  285,   74,      1644,    3,     0.000
      12375.000,      -9645.000,  299,   72,      1645,    1,     0.000
      12365.000,      -9655.000,  298,   71,      1645,    2,     0.000
      12355.000,      -9665.000,  297,   70,      1645,    3,     0.000
      12405.000,      -9645.000,  302,   72,      1646,    1,     0.000
      12395.000,      -9645.000,  301,   72,      1646,    2,     0.000
      12385.000,      -9645.000,  300,   72,      1646,    3,     0.000
      12435.000,      -9645.000,  305,   72,      1647,    1,     0.000
      12425.000,      -9645.000,  304,   72,      1647,    2,     0.000
      12415.000,      -9645.000,  303,   72,      1647,    3,     0.000
      11925.000,      -9615.000,  254,   75,      1655,    1,     0.000
      11915.000,      -9605.000,  253,   76,      1655,    2,     0.000
      11905.000,      -9595.000,  252,   77,      1655,    3,     0.000
      12105.000,      -9615.000,  272,   75,      1656,    1,     0.000
      12115.000,      -9605.000,  273,   76,      1656,    2,     0.000
      12125.000,      -9595.000,  274,   77,      1656,    3,     0.000
      12225.000,      -9615.000,  284,   75,      1657,    1,     0.000
      12215.000,      -9605.000,  283,   76,      1657,    2,     0.000
      12205.000,      -9595.000,  282,   77,      1657,    3,     0.000
      11895.000,      -9585.000,  251,   78,      1668,    1,     0.000
      11895.000,      -9575.000,  251,   79,      1668,    2,     0.000
      11895.000,      -9565.000,  251,   80,      1668,    3,     0.000
      12135.000,      -9585.000,  275,   78,      1669,    1,     0.000
      12135.000,      -9575.000,  275,   79,      1669,    2,     0.000
      12135.000,      -9565.000,  275,   80,      1669,    3,     0.000
      12195.000,      -9585.000,  281,   78,      1670,    1,     0.000
      12185.000,      -9575.000,  280,   79,      1670,    2,     0.000
      12175.000,      -9565.000,  279,   80,      1670,    3,     0.000
      12585.000,      -9585.000,  320,   78,      1671,    1,     0.000
      12575.000,      -9575.000,  319,   79,      1671,    2,     0.000
