         435
x,y,i,j
      12505.000,      -2220.000,  312,  815
      10835.000,      -2210.000,  145,  816
      10845.000,      -2210.000,  146,  816
      12485.000,      -2210.000,  310,  816
      12495.000,      -2210.000,  311,  816
      10855.000,      -2200.000,  147,  817
      10865.000,      -2200.000,  148,  817
      12475.000,      -2200.000,  309,  817
      10875.000,      -2190.000,  149,  818
      10885.000,      -2190.000,  150,  818
      12455.000,      -2190.000,  307,  818
      12465.000,      -2190.000,  308,  818
      10895.000,      -2180.000,  151,  819
      10905.000,      -2180.000,  152,  819
      12445.000,      -2180.000,  306,  819
      10915.000,      -2170.000,  153,  820
      10925.000,      -2170.000,  154,  820
      10935.000,      -2170.000,  155,  820
      12425.000,      -2170.000,  304,  820
      12435.000,      -2170.000,  305,  820
      10945.000,      -2160.000,  156,  821
      10955.000,      -2160.000,  157,  821
      12415.000,      -2160.000,  303,  821
      10965.000,      -2150.000,  158,  822
      10975.000,      -2150.000,  159,  822
      12395.000,      -2150.000,  301,  822
      12405.000,      -2150.000,  302,  822
      10985.000,      -2140.000,  160,  823
      10995.000,      -2140.000,  161,  823
      12385.000,      -2140.000,  300,  823
      11005.000,      -2130.000,  162,  824
      11015.000,      -2130.000,  163,  824
      12365.000,      -2130.000,  298,  824
      12375.000,      -2130.000,  299,  824
      11025.000,      -2120.000,  164,  825
      11035.000,      -2120.000,  165,  825
      12335.000,      -2120.000,  295,  825
      12345.000,      -2120.000,  296,  825
      12355.000,      -2120.000,  297,  825
      11045.000,      -2110.000,  166,  826
      11055.000,      -2110.000,  167,  826
      12285.000,      -2110.000,  290,  826
      12295.000,      -2110.000,  291,  826
      12305.000,      -2110.000,  292,  826
      12315.000,      -2110.000,  293,  826
      12325.000,      -2110.000,  294,  826
      11065.000,      -2100.000,  168,  827
      11075.000,      -2100.000,  169,  827
      12235.000,      -2100.000,  285,  827
      12245.000,      -2100.000,  286,  827
      12255.000,      -2100.000,  287,  827
      12265.000,      -2100.000,  288,  827
      12275.000,      -2100.000,  289,  827
      11085.000,      -2090.000,  170,  828
      11095.000,      -2090.000,  171,  828
      11105.000,      -2090.000,  172,  828
      12195.000,      -2090.000,  281,  828
      12205.000,      -2090.000,  282,  828
      12215.000,      -2090.000,  283,  828
      12225.000,      -2090.000,  284,  828
      11115.000,      -2080.000,  173,  829
      11125.000,      -2080.000,  174,  829
      12145.000,      -2080.000,  276,  829
      12155.000,      -2080.000,  277,  829
      12165.000,      -2080.000,  278,  829
      12175.000,      -2080.000,  279,  829
      12185.000,      -2080.000,  280,  829
      11135.000,      -2070.000,  175,  830
      11145.000,      -2070.000,  176,  830
      12095.000,      -2070.000,  271,  830
      12105.000,      -2070.000,  272,  830
      12115.000,      -2070.000,  273,  830
      12125.000,      -2070.000,  274,  830
      12135.000,      -2070.000,  275,  830
      11155.000,      -2060.000,  177,  831
      11165.000,      -2060.000,  178,  831
      12055.000,      -2060.000,  267,  831
      12065.000,      -2060.000,  268,  831
      12075.000,      -2060.000,  269,  831
      12085.000,      -2060.000,  270,  831
      11175.000,      -2050.000,  179,  832
      11185.000,      -2050.000,  180,  832
      12005.000,      -2050.000,  262,  832
      12015.000,      -2050.000,  263,  832
      12025.000,      -2050.000,  264,  832
