         435
x,y,i,j
      10245.000,      -7380.000,   86,  299
      10235.000,      -7360.000,   85,  301
      12925.000,      -7350.000,  354,  302
      10225.000,      -7340.000,   84,  303
      10215.000,      -7320.000,   83,  305
      10205.000,      -7300.000,   82,  307
      12935.000,      -7300.000,  355,  307
      10195.000,      -7280.000,   81,  309
      10185.000,      -7260.000,   80,  311
      10175.000,      -7240.000,   79,  313
      12945.000,      -7240.000,  356,  313
      10165.000,      -7230.000,   78,  314
      10155.000,      -7210.000,   77,  316
      12955.000,      -7190.000,  357,  318
      10145.000,      -7180.000,   76,  319
      10135.000,      -7160.000,   75,  321
      10125.000,      -7130.000,   74,  324
      12965.000,      -7130.000,  358,  324
      10115.000,      -7110.000,   73,  326
      10105.000,      -7090.000,   72,  328
      12975.000,      -7080.000,  359,  329
      10095.000,      -7060.000,   71,  331
      10085.000,      -7040.000,   70,  333
      12985.000,      -7030.000,  360,  334
      10075.000,      -7010.000,   69,  336
      10065.000,      -6990.000,   68,  338
      12995.000,      -6980.000,  361,  339
      10055.000,      -6970.000,   67,  340
      10045.000,      -6940.000,   66,  343
      10035.000,      -6920.000,   65,  345
      13005.000,      -6920.000,  362,  345
      10025.000,      -6890.000,   64,  348
      10015.000,      -6870.000,   63,  350
      13015.000,      -6870.000,  363,  350
      10005.000,      -6850.000,   62,  352
       9995.000,      -6820.000,   61,  355
      13025.000,      -6820.000,  364,  355
       9985.000,      -6800.000,   60,  357
       9975.000,      -6780.000,   59,  359
      13035.000,      -6760.000,  365,  361
       9965.000,      -6750.000,   58,  362
       9955.000,      -6730.000,   57,  364
      13045.000,      -6710.000,  366,  366
       9945.000,      -6700.000,   56,  367
       9935.000,      -6680.000,   55,  369
       9925.000,      -6660.000,   54,  371
      13055.000,      -6660.000,  367,  371
       9915.000,      -6630.000,   53,  374
       9905.000,      -6610.000,   52,  376
      13065.000,      -6610.000,  368,  376
       9895.000,      -6580.000,   51,  379
       9885.000,      -6560.000,   50,  381
      13075.000,      -6550.000,  369,  382
       9875.000,      -6540.000,   49,  383
       9865.000,      -6510.000,   48,  386
      13085.000,      -6500.000,  370,  387
       9855.000,      -6490.000,   47,  388
       9845.000,      -6460.000,   46,  391
      13095.000,      -6450.000,  371,  392
       9835.000,      -6440.000,   45,  393
       9825.000,      -6420.000,   44,  395
      13105.000,      -6400.000,  372,  397
       9815.000,      -6390.000,   43,  398
       9805.000,      -6370.000,   42,  400
       9795.000,      -6340.000,   41,  403
      13115.000,      -6340.000,  373,  403
       9785.000,      -6320.000,   40,  405
       9775.000,      -6300.000,   39,  407
      13125.000,      -6290.000,  374,  408
       9765.000,      -6270.000,   38,  410
       9755.000,      -6250.000,   37,  412
      13135.000,      -6240.000,  375,  413
       9745.000,      -6220.000,   36,  415
       9735.000,      -6190.000,   35,  418
      13145.000,      -6190.000,  376,  418
       9725.000,      -6160.000,   34,  421
      13155.000,      -6130.000,  377,  424
       9715.000,      -6120.000,   33,  425
       9705.000,      -6090.000,   32,  428
      13165.000,      -6080.000,  378,  429
       9695.000,      -6060.000,   31,  431
      13175.000,      -6040.000,  379,  433
       9685.000,      -6020.000,   30,  435
      13185.000,      -6000.000,  380,  437
       9675.000,      -5990.000,   29,  438
       9665.000,      -5960.000,   28,  441
      13195.000,      -5960.000,  381,  441
      13205.000,      -5930.000,  382,  444
       9655.000,      -5920.000,   27,  445
       9645.000,      -5890.000,   26,  448
      13215.000,      -5890.000,  383,  448
       9635.000,      -5860.000,   25,  451
      13225.000,      -5850.000,  384,  452
       9625.000,      -5830.000,   24,  454
      13235.000,      -5810.000,  385,  456
       9615.000,      -5790.000,   23,  458
      13245.000,      -5780.000,  386,  459
       9605.000,      -5760.000,   22,  461
      13255.000,      -5740.000,  387,  463
       9595.000,      -5730.000,   21,  464
      13265.000,      -5700.000,  388,  467
       9585.000,      -5690.000,   20,  468
       9575.000,      -5660.000,   19,  471
      13275.000,      -5660.000,  389,  471
       9565.000,      -5630.000,   18,  474
      13285.000,      -5630.000,  390,  474
       9555.000,      -5590.000,   17,  478
      13295.000,      -5590.000,  391,  478
       9545.000,      -5560.000,   16,  481
      13305.000,      -5550.000,  392,  482
       9535.000,      -5530.000,   15,  484
      13315.000,      -5510.000,  393,  486
       9525.000,      -5500.000,   14,  487
      13325.000,      -5480.000,  394,  489
       9515.000,      -5460.000,   13,  491
      13335.000,      -5440.000,  395,  493
       9505.000,      -5430.000,   12,  494
       9495.000,      -5400.000,   11,  497
      13345.000,      -5400.000,  396,  497
       9485.000,      -5360.000,   10,  501
      13355.000,      -5360.000,  397,  501
       9475.000,      -5330.000,    9,  504
      13365.000,      -5330.000,  398,  504
       9465.000,      -5300.000,    8,  507
      13375.000,      -5290.000,  399,  508
      13385.000,      -5250.000,  400,  512
      13395.000,      -5210.000,  401,  516
       9455.000,      -5170.000,    7,  520
      13405.000,      -5170.000,  402,  520
      13415.000,      -5140.000,  403,  523
      13425.000,      -5100.000,  404,  527
      13435.000,      -5060.000,  405,  531
