   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   42    83.34300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    83.34300    -0.05254     1.00000     0.00001     0.15082     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   43    84.26900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    84.26900    -0.06548     1.00000     0.00001     0.18797     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   44    84.76700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    84.76700    -0.04980     1.00000     0.00000     0.14296     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   45    85.60600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    85.60600    -0.05933     1.00000     0.00001     0.17031     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   46    86.32800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    86.32800    -0.07220     1.00000     0.00001     0.20727     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   47    87.02700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    87.02700    -0.06990     1.00000     0.00001     0.20066     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   48    88.07000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    88.07000    -0.07375     1.00000     0.00001     0.21172     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   49    89.32200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    89.32200    -0.08853     1.00000     0.00001     0.25415     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   50    90.64900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    90.64900    -0.13270     1.00000     0.00001     0.38094     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   51    91.62600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    91.62600    -0.06908     1.00000     0.00001     0.19832     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
