lon,lat,x,y
130.754671,33.396914,-22821.298182,44043.458968
130.757797,33.396914,-22530.550060,44042.778078
130.760922,33.396914,-22239.801964,44042.105919
130.764048,33.396914,-21949.053895,44041.442491
130.767173,33.396914,-21658.305851,44040.787792
130.770299,33.396914,-21367.557833,44040.141824
130.773424,33.396914,-21076.809840,44039.504587
130.776550,33.396914,-20786.061873,44038.876080
130.779676,33.396914,-20495.313929,44038.256303
130.782801,33.396914,-20204.566011,44037.645257
130.785927,33.396914,-19913.818116,44037.042941
130.789052,33.396914,-19623.070244,44036.449356
130.792178,33.396914,-19332.322396,44035.864501
130.795303,33.396914,-19041.574570,44035.288376
130.798429,33.396914,-18750.826767,44034.720982
130.801554,33.396914,-18460.078987,44034.162318
130.804680,33.396914,-18169.331228,44033.612384
130.807805,33.396914,-17878.583490,44033.071181
130.810931,33.396914,-17587.835774,44032.538708
130.814056,33.396914,-17297.088078,44032.014965
130.817182,33.396914,-17006.340403,44031.499953
130.820307,33.396914,-16715.592748,44030.993671
130.823433,33.396914,-16424.845113,44030.496119
130.826559,33.396914,-16134.097497,44030.007298
130.829684,33.396914,-15843.349901,44029.527207
130.832810,33.396914,-15552.602323,44029.055846
130.835935,33.396914,-15261.854763,44028.593216
130.839061,33.396914,-14971.107222,44028.139316
130.714039,33.398997,-26600.391850,44284.060773
130.717165,33.398997,-26309.650285,44283.266362
130.720290,33.398997,-26018.908751,44282.480682
130.723416,33.398997,-25728.167248,44281.703733
130.726541,33.398997,-25437.425776,44280.935515
130.729667,33.398997,-25146.684334,44280.176028
130.732793,33.398997,-24855.942921,44279.425271
130.735918,33.398997,-24565.201538,44278.683245
130.739044,33.398997,-24274.460183,44277.949950
130.742169,33.398997,-23983.718858,44277.225385
130.745295,33.398997,-23692.977561,44276.509552
130.748420,33.398997,-23402.236292,44275.802449
130.751546,33.398997,-23111.495050,44275.104076
130.754671,33.398997,-22820.753836,44274.414435
130.757797,33.398997,-22530.012649,44273.733524
130.760922,33.398997,-22239.271488,44273.061344
130.764048,33.398997,-21948.530354,44272.397895
130.767173,33.398997,-21657.789245,44271.743176
130.770299,33.398997,-21367.048163,44271.097188
130.773424,33.398997,-21076.307105,44270.459931
130.776550,33.398997,-20785.566073,44269.831404
130.779676,33.398997,-20494.825065,44269.211608
130.782801,33.398997,-20204.084081,44268.600543
130.785927,33.398997,-19913.343121,44267.998208
130.789052,33.398997,-19622.602185,44267.404604
130.792178,33.398997,-19331.861271,44266.819731
130.795303,33.398997,-19041.120381,44266.243588
130.798429,33.398997,-18750.379513,44265.676176
130.801554,33.398997,-18459.638668,44265.117494
130.804680,33.398997,-18168.897844,44264.567543
130.807805,33.398997,-17878.157042,44264.026323
130.810931,33.398997,-17587.416260,44263.493834
130.814056,33.398997,-17296.675500,44262.970075
130.817182,33.398997,-17005.934760,44262.455046
130.820307,33.398997,-16715.194040,44261.948748
130.823433,33.398997,-16424.453340,44261.451181
130.826559,33.398997,-16133.712660,44260.962344
130.829684,33.398997,-15842.971998,44260.482238
130.832810,33.398997,-15552.231355,44260.010863
130.835935,33.398997,-15261.490731,44259.548218
130.839061,33.398997,-14970.750124,44259.094304
130.714039,33.401079,-26599.757310,44515.016619
130.717165,33.401079,-26309.022681,44514.222184
130.720290,33.401079,-26018.288083,44513.436479
130.723416,33.401079,-25727.553516,44512.659506
130.726541,33.401079,-25436.818979,44511.891264
130.729667,33.401079,-25146.084472,44511.131752
130.732793,33.401079,-24855.349995,44510.380972
130.735918,33.401079,-24564.615547,44509.638923
130.739044,33.401079,-24273.881129,44508.905605
130.742169,33.401079,-23983.146739,44508.181018
130.745295,33.401079,-23692.412377,44507.465162
130.748420,33.401079,-23401.678044,44506.758037
130.751546,33.401079,-23110.943738,44506.059643
130.754671,33.401079,-22820.209459,44505.369980
130.757797,33.401079,-22529.475208,44504.689048
130.760922,33.401079,-22238.740983,44504.016846
130.764048,33.401079,-21948.006784,44503.353376
130.767173,33.401079,-21657.272611,44502.698637
130.770299,33.401079,-21366.538464,44502.052629
130.773424,33.401079,-21075.804342,44501.415352
130.776550,33.401079,-20785.070245,44500.786805
130.779676,33.401079,-20494.336173,44500.166990
130.782801,33.401079,-20203.602124,44499.555906
130.785927,33.401079,-19912.868100,44498.953552
130.789052,33.401079,-19622.134099,44498.359929
130.792178,33.401079,-19331.400122,44497.775038
130.795303,33.401079,-19040.666167,44497.198877
130.798429,33.401079,-18749.932235,44496.631447
130.801554,33.401079,-18459.198325,44496.072748
130.804680,33.401079,-18168.464436,44495.522780
130.807805,33.401079,-17877.730569,44494.981543
130.810931,33.401079,-17586.996724,44494.449037
130.814056,33.401079,-17296.262899,44493.925261
130.817182,33.401079,-17005.529094,44493.410217
130.820307,33.401079,-16714.795310,44492.903903
130.823433,33.401079,-16424.061546,44492.406320
130.826559,33.401079,-16133.327800,44491.917469
130.829684,33.401079,-15842.594074,44491.437347
130.832810,33.401079,-15551.860367,44490.965957
130.835935,33.401079,-15261.126678,44490.503298
130.839061,33.401079,-14970.393007,44490.049369
