       13551
x,y,i,j,cs
      12855.000,     -12690.000,   86,   11,    30.000
      12885.000,     -12690.000,   87,   11,    30.000
      12915.000,     -12690.000,   88,   11,    30.000
      12945.000,     -12690.000,   89,   11,    30.000
      12975.000,     -12690.000,   90,   11,    30.000
      13005.000,     -12690.000,   91,   11,    30.000
      13035.000,     -12690.000,   92,   11,    30.000
      13065.000,     -12690.000,   93,   11,    30.000
      13095.000,     -12690.000,   94,   11,    30.000
      13125.000,     -12690.000,   95,   11,    30.000
      13155.000,     -12690.000,   96,   11,    30.000
      13185.000,     -12690.000,   97,   11,    30.000
      13215.000,     -12690.000,   98,   11,    30.000
      13245.000,     -12690.000,   99,   11,    30.000
      13275.000,     -12690.000,  100,   11,    30.000
      13305.000,     -12690.000,  101,   11,    30.000
      13335.000,     -12690.000,  102,   11,    30.000
      13365.000,     -12690.000,  103,   11,    30.000
      13395.000,     -12690.000,  104,   11,    30.000
      13425.000,     -12690.000,  105,   11,    30.000
      13455.000,     -12690.000,  106,   11,    30.000
      13485.000,     -12690.000,  107,   11,    30.000
      13515.000,     -12690.000,  108,   11,    30.000
      13545.000,     -12690.000,  109,   11,    30.000
      13575.000,     -12690.000,  110,   11,    30.000
      13605.000,     -12690.000,  111,   11,    30.000
      13635.000,     -12690.000,  112,   11,    30.000
      13665.000,     -12690.000,  113,   11,    30.000
      13695.000,     -12690.000,  114,   11,    30.000
      13725.000,     -12690.000,  115,   11,    30.000
      13755.000,     -12690.000,  116,   11,    30.000
      13785.000,     -12690.000,  117,   11,    30.000
      13815.000,     -12690.000,  118,   11,    30.000
      13845.000,     -12690.000,  119,   11,    30.000
      13875.000,     -12690.000,  120,   11,    30.000
      13905.000,     -12690.000,  121,   11,    30.000
      13935.000,     -12690.000,  122,   11,    30.000
      13965.000,     -12690.000,  123,   11,    30.000
      13995.000,     -12690.000,  124,   11,    30.000
      14025.000,     -12690.000,  125,   11,    30.000
      14055.000,     -12690.000,  126,   11,    30.000
      14085.000,     -12690.000,  127,   11,    30.000
      14115.000,     -12690.000,  128,   11,    30.000
      10335.000,     -12660.000,    2,   12,    30.000
      10365.000,     -12660.000,    3,   12,    30.000
      10395.000,     -12660.000,    4,   12,    30.000
      10425.000,     -12660.000,    5,   12,    30.000
      11595.000,     -12660.000,   44,   12,    30.000
      11625.000,     -12660.000,   45,   12,    30.000
      11655.000,     -12660.000,   46,   12,    30.000
      11895.000,     -12660.000,   54,   12,    30.000
      11925.000,     -12660.000,   55,   12,    30.000
      11955.000,     -12660.000,   56,   12,    30.000
      11985.000,     -12660.000,   57,   12,    30.000
      12015.000,     -12660.000,   58,   12,    30.000
      12045.000,     -12660.000,   59,   12,    30.000
      12075.000,     -12660.000,   60,   12,    30.000
      12105.000,     -12660.000,   61,   12,    30.000
      12135.000,     -12660.000,   62,   12,    30.000
      12165.000,     -12660.000,   63,   12,    30.000
      12255.000,     -12660.000,   66,   12,    30.000
      12285.000,     -12660.000,   67,   12,    30.000
      12315.000,     -12660.000,   68,   12,    30.000
      12345.000,     -12660.000,   69,   12,    30.000
      12375.000,     -12660.000,   70,   12,    30.000
      12405.000,     -12660.000,   71,   12,    30.000
      12435.000,     -12660.000,   72,   12,    30.000
      12465.000,     -12660.000,   73,   12,    30.000
      12495.000,     -12660.000,   74,   12,    30.000
      12525.000,     -12660.000,   75,   12,    30.000
      12555.000,     -12660.000,   76,   12,    30.000
      12585.000,     -12660.000,   77,   12,    30.000
      12615.000,     -12660.000,   78,   12,    30.000
      12645.000,     -12660.000,   79,   12,    30.000
      12675.000,     -12660.000,   80,   12,    30.000
      12705.000,     -12660.000,   81,   12,    30.000
      12735.000,     -12660.000,   82,   12,    30.000
      12765.000,     -12660.000,   83,   12,    30.000
      12795.000,     -12660.000,   84,   12,    30.000
      12825.000,     -12660.000,   85,   12,    30.000
      12855.000,     -12660.000,   86,   12,    30.000
      12885.000,     -12660.000,   87,   12,    30.000
      12915.000,     -12660.000,   88,   12,    30.000
      12945.000,     -12660.000,   89,   12,    30.000
      12975.000,     -12660.000,   90,   12,    30.000
      13005.000,     -12660.000,   91,   12,    30.000
      13035.000,     -12660.000,   92,   12,    30.000
      13065.000,     -12660.000,   93,   12,    30.000
      13095.000,     -12660.000,   94,   12,    30.000
      13125.000,     -12660.000,   95,   12,    30.000
      13155.000,     -12660.000,   96,   12,    30.000
      13185.000,     -12660.000,   97,   12,    30.000
      13215.000,     -12660.000,   98,   12,    30.000
      13245.000,     -12660.000,   99,   12,    30.000
      13275.000,     -12660.000,  100,   12,    30.000
      13305.000,     -12660.000,  101,   12,    30.000
      13335.000,     -12660.000,  102,   12,    30.000
      13365.000,     -12660.000,  103,   12,    30.000
      13395.000,     -12660.000,  104,   12,    30.000
      13425.000,     -12660.000,  105,   12,    30.000
      13455.000,     -12660.000,  106,   12,    30.000
      13485.000,     -12660.000,  107,   12,    30.000
      13515.000,     -12660.000,  108,   12,    30.000
      13545.000,     -12660.000,  109,   12,    30.000
      13575.000,     -12660.000,  110,   12,    30.000
      13605.000,     -12660.000,  111,   12,    30.000
      13635.000,     -12660.000,  112,   12,    30.000
      13665.000,     -12660.000,  113,   12,    30.000
      13695.000,     -12660.000,  114,   12,    30.000
      13725.000,     -12660.000,  115,   12,    30.000
      13755.000,     -12660.000,  116,   12,    30.000
      13785.000,     -12660.000,  117,   12,    30.000
      13815.000,     -12660.000,  118,   12,    30.000
      13845.000,     -12660.000,  119,   12,    30.000
      13875.000,     -12660.000,  120,   12,    30.000
      13905.000,     -12660.000,  121,   12,    30.000
      13935.000,     -12660.000,  122,   12,    30.000
      13965.000,     -12660.000,  123,   12,    30.000
      13995.000,     -12660.000,  124,   12,    30.000
      14025.000,     -12660.000,  125,   12,    30.000
      14055.000,     -12660.000,  126,   12,    30.000
      14085.000,     -12660.000,  127,   12,    30.000
      14115.000,     -12660.000,  128,   12,    30.000
      10335.000,     -12630.000,    2,   13,    30.000
      10365.000,     -12630.000,    3,   13,    30.000
      10395.000,     -12630.000,    4,   13,    30.000
      10425.000,     -12630.000,    5,   13,    30.000
      10455.000,     -12630.000,    6,   13,    30.000
      10485.000,     -12630.000,    7,   13,    30.000
      11265.000,     -12630.000,   33,   13,    30.000
      11295.000,     -12630.000,   34,   13,    30.000
      11325.000,     -12630.000,   35,   13,    30.000
      11355.000,     -12630.000,   36,   13,    30.000
      11385.000,     -12630.000,   37,   13,    30.000
      11415.000,     -12630.000,   38,   13,    30.000
      11445.000,     -12630.000,   39,   13,    30.000
      11475.000,     -12630.000,   40,   13,    30.000
